variable,tipo,movilidad,flujo,unidad_medida,nivel,fecha,valor
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2022-11-01,59.06
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2022-11-01,64.07
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2022-12-01,57.99
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2022-12-01,45.94
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2022-12-01,68.47
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2022-12-01,71.21
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-01-01,59.03
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-01-01,44.32
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-01-01,53.6
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-01-01,58.47
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-02-01,60.21
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-02-01,44.12
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-02-01,52.66
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-02-01,59.69
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-03-01,61.09
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-03-01,45.46
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-03-01,51.07
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-03-01,61.93
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-04-01,59.34
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-04-01,45.45
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-04-01,49.97
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-04-01,58.43
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-05-01,64.59
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-05-01,45.35
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-05-01,55.83
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-05-01,60.45
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-06-01,71.06
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-06-01,48.93
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-06-01,56.46
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-06-01,61.73
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-07-01,62.52
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-07-01,47.32
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-07-01,54.22
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-07-01,62.52
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-08-01,63.63
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-08-01,49.09
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-08-01,52.06
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-08-01,60.79
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-09-01,61.53
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-09-01,45.39
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-09-01,47.66
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-09-01,55.83
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-10-01,59.82
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-10-01,45.05
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-10-01,50.23
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-10-01,58.91
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-11-01,61.85
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-11-01,50.31
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-11-01,57.56
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-11-01,70.03
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2023-12-01,61.02
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2023-12-01,51.45
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2023-12-01,67.61
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2023-12-01,80.66
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-01-01,59.37
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-01-01,42.31
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-01-01,51.26
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-01-01,60.81
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-02-01,60.51
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-02-01,40.85
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-02-01,52.97
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-02-01,62.55
