date,ivf_turistico_servicios,lag_1,lag_2,lag_3,lag_4,roll_mean_2,roll_mean_4,q2,q3,q4,covid,trend,gasto_medio__excursionistas_fronterizos__en_automoviles__entrada,gasto_medio__excursionistas_fronterizos__en_automoviles__salida,gasto_medio__excursionistas_fronterizos__peatones__entrada,gasto_medio__excursionistas_fronterizos__peatones__salida,gasto_medio__turistas_de_internacion__via_aerea__entrada,gasto_medio__turistas_de_internacion__via_aerea__salida,gasto_medio__turistas_de_internacion__via_terrestre__entrada,gasto_medio__turistas_de_internacion__via_terrestre__salida,gasto_medio__turistas_fronterizos__en_automoviles__entrada,gasto_medio__turistas_fronterizos__en_automoviles__salida,gasto_medio__turistas_fronterizos__peatones__entrada,gasto_medio__turistas_fronterizos__peatones__salida,gasto_total__excursionistas_fronterizos__en_automoviles__entrada,gasto_total__excursionistas_fronterizos__en_automoviles__salida,gasto_total__excursionistas_fronterizos__peatones__entrada,gasto_total__excursionistas_fronterizos__peatones__salida,gasto_total__turistas_de_internacion__via_aerea__entrada,gasto_total__turistas_de_internacion__via_aerea__salida,gasto_total__turistas_de_internacion__via_terrestre__entrada,gasto_total__turistas_de_internacion__via_terrestre__salida,gasto_total__turistas_fronterizos__en_automoviles__entrada,gasto_total__turistas_fronterizos__en_automoviles__salida,gasto_total__turistas_fronterizos__peatones__entrada,gasto_total__turistas_fronterizos__peatones__salida,num_visitantes__excursionistas_fronterizos__en_automoviles__entrada,num_visitantes__excursionistas_fronterizos__en_automoviles__salida,num_visitantes__excursionistas_fronterizos__peatones__entrada,num_visitantes__excursionistas_fronterizos__peatones__salida,num_visitantes__turistas_de_internacion__via_aerea__entrada,num_visitantes__turistas_de_internacion__via_aerea__salida,num_visitantes__turistas_de_internacion__via_terrestre__entrada,num_visitantes__turistas_de_internacion__via_terrestre__salida,num_visitantes__turistas_fronterizos__en_automoviles__entrada,num_visitantes__turistas_fronterizos__en_automoviles__salida,num_visitantes__turistas_fronterizos__peatones__entrada,num_visitantes__turistas_fronterizos__peatones__salida
2010-10-01,79.0,77.4,78.7,82.0,79.2,78.05000000000001,79.325,0,0,1,0,71,0.0,38.87121428571422,38.093321428571485,50.859267857142896,1554.5300714285718,1826.535053571428,939.4504821428576,676.7186071428569,0.0,188.50028571428567,0.0,73.63157142857145,0.0,0.0,23407033.080357164,47771101.03571424,0.0,0.0,230085510.7178569,294433217.8892851,0.0,55579364.31249991,0.0,16803948.614285707,6702195.783928569,6178116.112499993,1842890.5517857135,2875335.4517857125,728797.7857142873,0.0,761382.2767857129,1229206.8107142835,2764366.9303571405,706137.7499999992,754809.5607142854,442294.1482142855
2011-01-01,79.8,79.0,77.4,78.7,82.0,78.2,79.275,0,0,0,0,72,0.0,27.49628571428568,41.47328571428572,40.00260714285719,1969.3188571428568,1568.0214642857138,1101.4574642857142,619.2519285714285,0.0,169.84935714285717,0.0,65.2102142857143,0.0,0.0,20352533.089285742,27183411.428571463,0.0,0.0,101293899.51428583,169108218.37857145,0.0,40020550.48214287,0.0,15417002.671428572,6342606.117857141,5702445.182142856,1726537.1892857142,2716242.646428571,1073524.750000001,0.0,238562.9107142856,793545.957142857,2325902.025,604805.0,671431.5285714286,438203.682142857
2011-04-01,80.3,79.8,79.0,77.4,78.7,79.4,78.72500000000001,1,0,0,0,73,7.752142857142928,29.2105714285714,48.95328571428571,44.80403571428579,1691.8545714285715,1701.9500357142854,1007.0931785714288,637.7447857142856,0.0,149.50078571428577,0.0,67.19878571428575,0.0,0.0,20708693.37500001,13753858.857142895,0.0,0.0,133965989.22857147,177157695.66428578,0.0,26784728.62500001,0.0,13435997.814285718,5991810.117857142,4690298.039285715,1605909.6178571428,2327376.932142857,127248.32142857276,0.0,412408.0535714283,819870.6714285712,2293491.7392857145,503435.7142857144,654432.8142857143,390316.9678571428
2011-07-01,80.5,80.3,79.8,79.0,77.4,80.05,79.125,0,1,0,0,74,1.951250000000016,24.566000000000003,47.87325,40.15612500000006,1655.9979999999996,1701.471625,1011.097125,673.5602500000001,0.0,145.47950000000012,0.0,63.16850000000002,0.0,0.0,21218258.93750003,13011845.50000012,0.0,0.0,148650195.0250004,248638809.97500044,0.0,37988302.31250012,0.0,13750304.05000001,5957576.862500001,5378525.912500005,1558729.7375000005,2297438.037500001,0.0,0.0,402857.56250000047,1019060.4250000012,2747013.387500002,651245.5000000009,693934.1750000004,397589.6625
2011-10-01,85.1,80.5,80.3,79.8,79.0,80.4,79.9,0,0,1,0,75,6.681250000000148,51.80349999999996,45.45575000000004,59.984875000000045,1690.7555000000002,1894.0203749999996,938.6883750000004,679.2902499999997,0.0,194.22449999999995,0.0,83.2235,16219240.43750006,21772762.474999428,28061823.81250001,56953687.74999994,0.0,0.0,244292162.7749998,298801296.7249994,0.0,59035314.43749991,0.0,17028280.799999993,6645015.487499997,6379682.537499993,1848623.6124999996,2881324.912499998,1115026.250000001,0.0,804512.6874999988,1248945.424999998,2840762.512499998,738186.7499999992,756408.1749999997,431443.7874999997
2012-01-01,83.4,85.1,80.5,80.3,79.8,82.8,81.425,0,0,0,0,76,12.7928571428572,40.42857142857139,48.8357142857143,49.128214285714336,2105.5442857142857,1635.5067857142851,1100.6953571428571,621.8235714285713,0.0,175.57357142857146,0.0,74.80214285714288,5292219.464285791,0.0,25007323.8214286,36365998.14285717,399714928.3571415,0.0,115500551.57142866,173476297.21428573,0.0,43476500.60714287,0.0,15641334.857142858,6285425.821428571,5904011.607142856,1732270.25,2722232.107142857,1459753.2142857146,0.0,281693.32142857125,813284.5714285714,2402297.6071428573,636854.0,673030.142857143,427353.3214285713
2012-04-01,84.8,83.4,85.1,80.5,80.3,84.25,82.32499999999999,1,0,0,0,77,22.22714285714295,42.14285714285711,56.31571428571432,53.92964285714291,1828.08,1769.435357142857,1006.3310714285716,640.3164285714284,0.0,155.22500000000002,0.0,76.7907142857143,17174896.607142866,0.0,25363484.10714288,22936445.571428627,0.0,0.0,148172641.28571433,181525774.5000001,0.0,30240678.75000001,0.0,13660330.000000004,5934629.821428571,4891864.464285715,1611642.6785714286,2333366.3928571427,513476.7857142873,0.0,455538.4642857141,839609.2857142854,2369887.321428572,535484.7142857144,656031.4285714286,379466.607142857
2012-07-01,83.6,84.8,83.4,85.1,80.5,84.1,83.45,0,1,0,0,78,16.42625000000004,37.498285714285714,55.23567857142855,49.28173214285718,1792.223428571428,1768.9569464285714,1010.3350178571428,676.1318928571429,0.0,151.2037142857144,0.0,72.7604285714286,12514094.43750006,0.0,25873049.66964289,22194432.21428585,0.0,0.0,162856847.08214325,253006888.81071472,0.0,41444252.43750012,0.0,13974636.235714298,5900396.566071429,5580092.337500006,1564462.798214286,2303427.4982142868,195817.96428571548,3146.317857144866,445987.97321428615,1038799.0392857156,2823408.96964286,683294.5000000009,695532.7892857146,386739.3017857144
2012-10-01,85.3,83.6,84.8,83.4,85.1,84.19999999999999,84.225,0,0,1,0,79,21.156250000000117,64.7357857142857,52.81817857142862,69.1104821428572,1826.980928571429,1961.505696428571,937.9262678571432,681.8618928571425,0.0,199.94871428571423,0.0,92.81542857142858,44396649.06250006,71453439.27499938,32716614.544642866,66136274.46428564,0.0,0.0,258498814.83214265,303169375.56071365,0.0,62491264.56249991,338116.56071428955,17252612.98571428,6587835.1910714265,6581248.962499993,1854356.6732142847,2887314.373214284,1501254.7142857157,85687.06785714207,847643.0982142845,1268684.0392857122,2917158.0946428548,770235.7499999992,758006.7892857139,420593.42678571405
2013-01-01,84.3,85.3,83.6,84.8,83.4,84.44999999999999,84.275,0,0,0,0,80,27.267857142857224,53.3608571428571,56.198142857142855,58.25382142857149,2241.769714285714,1702.9921071428566,1099.93325,624.3952142857142,0.0,181.2977857142857,6.340642857142825,84.39407142857144,33469628.08928579,0.0,29662114.553571448,45548584.85714287,985796687.249998,0.0,129707203.62857153,177844376.05,0.0,46932450.73214287,0.0,15865667.042857144,6228245.524999999,6105578.032142856,1738003.3107142856,2728221.5678571425,1845981.678571429,0.0,324823.73214285704,833023.1857142856,2478693.189285714,668903.0,674628.7571428572,416502.9607142856
2013-04-01,84.2,84.3,85.3,83.6,84.8,84.8,84.5,1,0,0,0,81,36.70214285714292,55.07514285714288,63.67814285714287,63.05525000000006,1964.3054285714284,1836.9206785714284,1005.5689642857144,642.8880714285714,0.0,160.94921428571433,5.863499999999931,86.38264285714288,45352305.23214287,0.0,30018274.83928573,32119032.28571433,0.0,0.0,162379293.34285718,185893853.3357144,0.0,33696628.875000015,0.0,13884662.18571429,5877449.524999999,5093430.889285715,1617375.7392857142,2339355.8535714285,899705.2500000009,0.0,498668.87499999977,859347.8999999998,2446282.9035714287,567533.7142857144,657630.0428571429,368616.24642857135
2013-07-01,84.9,84.2,84.3,85.3,83.6,84.25,84.35,0,1,0,0,82,30.90125000000006,50.43057142857143,62.59810714285713,58.40733928571433,1928.448857142857,1836.442267857143,1009.5729107142856,678.7035357142857,0.0,156.9279285714287,16.02382142857141,82.35235714285716,40691503.06250006,5623109.825000286,30527840.401785742,31377018.928571552,0.0,983003.3250017166,177063499.1392861,257374967.646429,0.0,44900202.56250012,4218847.14642863,14198968.421428582,5843216.269642858,5781658.762500005,1570195.8589285717,2309416.958928572,582046.42857143,158883.06071428815,489118.3839285718,1058537.65357143,2899804.551785717,715343.5000000009,697131.403571429,375888.9410714286
2013-10-01,88.6,84.9,84.2,84.3,85.3,84.55000000000001,84.67500000000001,0,0,1,0,83,35.631250000000136,77.66807142857138,60.18060714285717,78.23608928571431,1963.206357142857,2028.9910178571424,937.164160714286,684.4335357142854,4.330428571428683,205.6729285714285,15.71132142857141,102.40735714285717,72574057.68750006,121134116.07499944,37371405.27678573,75318861.17857137,496722419.1607151,98249051.82499932,272705466.8892855,307537454.396428,0.0,65947214.68749991,5896293.39642857,17476945.17142856,6530654.894642855,6782815.387499994,1860089.7339285708,2893303.8339285697,1887483.178571429,241423.8107142849,890773.5089285702,1288422.6535714264,2993553.676785712,802284.7499999992,759605.4035714283,409743.0660714284
2014-01-01,86.8,88.6,84.9,84.2,84.3,86.75,85.5,0,0,0,0,84,41.74285714285719,66.29314285714284,63.56057142857144,67.3794285714286,2377.9951428571426,1770.4774285714282,1099.171142857143,626.9668571428571,23.31628571428587,187.022,28.91342857142854,93.98600000000002,61647036.71428579,48983841.74285698,34316905.28571431,54731171.5714286,1571878446.1428547,0.0,143913855.68571436,182212454.8857143,0.0,50388400.85714287,2665816.600000024,16089999.22857143,6171065.228571428,6307144.457142856,1743736.3714285714,2734211.0285714283,2232210.142857144,0.0,367954.1428571427,852761.7999999999,2555088.771428571,700952.0,676227.3714285715,405652.5999999999
2014-04-01,86.0,86.8,88.6,84.9,84.2,87.69999999999999,86.125,1,0,0,0,85,51.17714285714294,68.00742857142856,71.04057142857143,72.1808571428572,2100.5308571428573,1904.406,1004.8068571428572,645.4597142857142,14.802000000000136,166.6734285714286,28.43628571428565,95.97457142857148,73529713.85714287,13278681.45714271,34673065.57142858,41301619.00000003,202079142.0,0.0,176585945.40000004,190261932.17142865,0.0,37152579.000000015,2432865.171428591,14108994.371428575,5820269.228571428,5294997.314285714,1623108.8,2345345.314285714,1285933.7142857157,50224.05714285793,541799.2857142854,879086.5142857141,2522678.485714286,599582.7142857144,659228.6571428572,357765.88571428566
2014-07-01,85.6,86.0,86.8,88.6,84.9,86.4,86.575,0,1,0,0,86,45.37625000000003,63.362857142857166,69.96053571428568,67.53294642857148,2064.6742857142854,1903.9275892857145,1008.8108035714286,681.2751785714287,28.104642857143062,162.65214285714296,38.59660714285712,91.94428571428574,68868911.68750006,55303786.62500024,35182631.1339286,40559605.64285725,0.0,152855231.6250019,191270151.19642892,261743046.48214328,5811416.883928776,48356152.68750012,9777023.98214291,14423300.607142868,5786035.973214286,5983225.187500006,1575928.9196428575,2315406.419642858,968274.8928571437,314619.8035714305,532248.7946428575,1078276.267857144,2976200.1339285737,747392.5000000009,698730.0178571432,365038.5803571429
2014-10-01,90.1,85.6,86.0,86.8,88.6,85.8,86.74999999999999,0,0,1,0,87,50.10625000000016,90.60035714285712,67.54303571428575,87.36169642857146,2099.431785714286,2096.476339285714,936.402053571429,687.0051785714282,36.02714285714296,211.3971428571428,38.28410714285712,111.99928571428572,100751466.31250006,170814792.8749994,42026196.00892858,84501447.89285707,1082804178.0535717,250121280.12499952,286912118.9464284,311905533.23214227,2441570.258928299,69403164.81249991,11454470.23214285,17701277.35714285,6473474.598214284,6984381.8124999935,1865822.7946428568,2899293.2946428554,2273711.642857144,397160.5535714277,933903.919642856,1308161.2678571409,3069949.258928569,834333.7499999992,761204.0178571425,398892.7053571426
2015-01-01,88.5,90.1,85.6,86.0,86.8,87.85,87.125,0,0,0,0,88,56.21785714285721,79.22542857142852,70.92300000000002,76.50503571428575,2514.2205714285715,1837.96275,1098.4090357142857,629.5385,55.01300000000015,192.7462142857143,51.486214285714254,103.5779285714286,89824445.33928579,98664518.54285704,38971696.01785717,63913758.2857143,2157960205.035713,0.0,158120507.74285722,186580533.7214286,0.0,53844350.98214287,8223993.435714304,16314331.414285716,6113884.9321428565,6508710.882142857,1749469.4321428572,2740200.489285714,2618438.6071428563,142910.65714285802,411084.5535714284,872500.4142857143,2631484.3535714285,733001.0,677825.9857142858,394802.23928571417
2015-04-01,89.4,88.5,90.1,85.6,86.0,89.3,87.55,1,0,0,0,89,65.6521428571429,80.9397142857143,78.40299999999998,81.30646428571433,2236.7562857142857,1971.8913214285712,1004.04475,648.0313571428571,46.498714285714414,172.3976428571429,51.00907142857136,105.56650000000002,101707122.48214288,62959358.2571429,39327856.30357145,50484205.71428576,788160900.8928566,40615272.614285946,190792597.4571429,194630011.00714296,0.0,40608529.125000015,7991042.007142872,14333326.55714286,5763088.9321428565,5496563.739285715,1628841.8607142856,2351334.775,1672162.178571429,205960.80000000077,584929.6964285711,898825.1285714284,2599074.067857143,631631.7142857144,660827.2714285715,346915.5249999999
2015-07-01,89.3,89.4,88.5,90.1,85.6,88.95,88.39999999999999,0,1,0,0,90,59.85125000000005,76.29514285714285,77.32296428571426,76.6585535714286,2200.899714285714,1971.4129107142855,1008.0486964285716,683.8468214285715,59.80135714285734,168.37635714285727,61.16939285714284,101.53621428571432,97046320.31250006,104984463.42500009,39837421.86607146,49742192.357142985,390165184.9464302,304727459.9250021,205476803.2535718,266111125.3178576,49694911.81607163,51812102.81250012,15335200.817857193,14647632.792857151,5728855.676785715,6184791.612500005,1581661.980357143,2321395.8803571435,1354503.3571428582,470356.5464285738,575379.2053571432,1098014.8821428586,3052595.716071431,779441.5000000009,700328.6321428575,354188.2196428572
2015-10-01,94.4,89.3,89.4,88.5,90.1,89.35,89.325,0,0,1,0,91,64.58125000000013,103.53264285714286,74.90546428571433,96.4873035714286,2235.6572142857144,2163.961660714285,935.639946428572,689.5768214285712,67.72385714285724,217.12135714285708,60.85689285714284,121.5912142857143,128928874.93750006,220495469.67499936,46680986.74107143,93684034.60714278,1668885936.9464283,401993508.4249992,301118771.0035712,316273612.0678565,46325065.19107115,72859114.93749991,17012647.06785713,17925609.542857133,6416294.301785712,7185948.237499993,1871555.8553571424,2905282.755357141,2659940.107142858,552897.2964285705,977034.3303571416,1327899.882142855,3146344.8410714264,866382.7499999992,762802.6321428568,388042.3446428569
2016-01-01,92.3,94.4,89.3,89.4,88.5,91.85,90.4,0,0,0,0,92,70.69285714285724,92.15771428571426,78.28542857142857,85.6306428571429,2650.446,1905.448071428571,1097.6469285714286,632.1101428571428,86.70971428571443,198.47042857142856,74.05899999999997,113.16985714285715,118001853.9642858,148345195.342857,43626486.750000015,73096345.0,2744041963.92857,65504738.62857151,172327159.80000007,190948612.55714288,23041410.12142849,57300301.10714287,13782170.271428583,16538663.6,6056704.635714285,6710277.3071428565,1755202.4928571428,2746189.95,3004667.071428571,298647.40000000084,454214.9642857142,892239.0285714285,2707879.935714286,765050.0,679424.6000000001,383951.8785714285
2016-04-01,93.2,92.3,94.4,89.3,89.4,93.35,91.35,1,0,0,0,93,80.12714285714293,93.872,85.76542857142859,90.43207142857148,2372.981714285714,2039.3766428571428,1003.282642857143,650.603,78.19542857142869,178.12185714285718,73.58185714285707,115.1584285714286,129884531.10714288,112640035.05714284,43982647.0357143,59666792.42857146,1374242659.7857132,192487500.9142861,204999249.5142857,198998089.84285724,26951163.55000007,44064479.250000015,13549218.842857152,14557658.742857149,5705908.635714285,5698130.164285716,1634574.9214285717,2357324.2357142856,2058390.642857144,361697.5428571436,628060.107142857,918563.7428571428,2675469.6500000004,663680.7142857144,662425.8857142858,336065.1642857142
2016-07-01,91.6,93.2,92.3,94.4,89.3,92.75,92.30000000000001,0,1,0,0,94,74.32625000000002,89.22742857142859,84.68539285714284,85.78416071428575,2337.1251428571422,2038.8982321428573,1007.2865892857144,686.4184642857144,91.49807142857162,174.10057142857156,83.74217857142867,111.12814285714288,125223728.93750006,154665140.22500026,44492212.59821431,58924779.07142869,976246943.8392868,456599688.2250013,219683455.31071463,270479204.1535719,93578406.74821448,55268052.93750012,20893377.653571486,14871964.97857144,5671675.380357144,6386358.037500005,1587395.041071429,2327385.3410714297,1740731.8214285728,626093.2892857161,618509.6160714291,1117753.4964285728,3128991.2982142884,811490.5000000009,701927.2464285719,343337.85892857146
2016-10-01,96.4,91.6,93.2,92.3,94.4,92.4,92.875,0,0,1,0,95,79.05625000000015,116.46492857142854,82.26789285714288,105.61291071428572,2371.8826428571438,2231.4469821428565,934.8778392857148,692.148464285714,99.42057142857152,222.84557142857136,83.42967857142855,131.18314285714288,157106283.56250006,270176146.4749993,51335777.4732143,102866621.32142852,2254967695.839285,553865736.7249994,315325423.06071407,320641690.90357083,90208560.123214,76315065.06249991,22570823.9035714,18149941.728571422,6359114.005357141,7387514.662499993,1877288.916071428,2911272.216071427,3046168.571428571,708634.0392857133,1020164.7410714276,1347638.4964285693,3222740.423214284,898431.7499999992,764401.2464285712,377191.9839285712
2017-01-01,99.2,96.4,91.6,93.2,92.3,94.0,93.375,0,0,0,0,96,85.1678571428572,105.09,85.64785714285715,94.75625000000002,2786.6714285714284,1972.9333928571425,1096.8848214285715,634.6817857142856,118.4064285714286,204.19464285714287,96.63178571428568,122.76178571428574,146179262.5892858,198025872.14285696,48281277.48214288,82278931.71428573,3330123722.8214264,217376966.9285717,186533811.85714293,195316691.3928572,66924905.05357146,60756251.23214285,19340347.107142866,16762995.785714287,5999524.339285714,6911843.732142856,1760935.5535714286,2752179.410714285,3390895.535714285,454384.14285714366,497345.3749999999,911977.6428571428,2784275.5178571427,797099.0,681023.2142857143,373101.5178571427
2017-04-01,96.1,99.2,96.4,91.6,93.2,97.80000000000001,95.10000000000001,1,0,0,0,97,94.60214285714297,106.80428571428573,93.12785714285714,99.55767857142862,2509.2071428571426,2106.861964285714,1002.520535714286,653.1746428571428,109.89214285714286,183.84607142857143,96.1546428571428,124.75035714285715,158061939.73214287,162320711.8571428,48637437.76785715,68849379.14285716,1960324418.678572,344359729.21428585,219205901.5714286,203366168.67857152,70834658.48214293,47520429.375,19107395.678571448,14781990.928571433,5648728.339285714,5899696.589285715,1640307.982142857,2363313.696428572,2444619.107142858,517434.2857142864,671190.5178571427,938302.357142857,2751865.2321428573,695729.7142857144,664024.5000000001,325214.8035714285
